budget_fiscal_year,department_name,account,account_name,total_expenditures,account group name
2012,City Planning And Development,7300,"Furniture, Office And Technical Equipment",,Equipment
2012,City Planning And Development,8140,Early Retirement Incentive Program Payout,,Special
2012,City Planning And Development,1010,Salaries General,19658039.59,Salaries And Benefits
2012,City Planning And Development,1070,Salaries As Needed,,Salaries And Benefits
2012,City Planning And Development,1090,Overtime General,251155.59,Salaries And Benefits
2012,City Planning And Development,2120,Printing And Binding,80628.73,Expenses
2012,City Planning And Development,2130,Travel,1806.88,Expenses
2012,Controller,3040,Contractual Services,1202731.14,Expenses
2012,Controller,6010,Office And Administrative,186126.06,Expenses
2012,Controller,7300,"Furniture, Office And Technical Equipment",53677.98,Equipment
2012,Controller,8140,Early Retirement Incentive Program Payout,,Special
2012,Controller,1010,Salaries General,13912789.40,Salaries And Benefits
2012,Controller,1070,Salaries As Needed,344786.43,Salaries And Benefits
2012,Controller,1090,Overtime General,101916.07,Salaries And Benefits
2012,Controller,2120,Printing And Binding,49877.41,Expenses
2012,Controller,2130,Travel,3461.32,Expenses
2012,Controller,4620,Contingent Expense,,Expenses
2012,Council,3040,Contractual Services,1093529.14,Expenses
2012,Council,8140,Early Retirement Incentive Program Payout,,Special
2012,Council,6010,Office And Administrative,868986.02,Expenses
2012,Council,4620,Contingent Expense,29580.24,Expenses
2012,Council,1010,Salaries General,8225313.46,Salaries And Benefits
2012,Council,1070,Salaries As Needed,16296411.13,Salaries And Benefits
2012,Council,1090,Overtime General,2608.59,Salaries And Benefits
2012,Council,2120,Printing And Binding,169389.90,Expenses
2012,Council,4140,"Legislative, Economic Or Govt. Purposes",16776.52,Expenses
2012,Council,2130,Travel,28632.95,Expenses
2012,Council,3310,Transportation,13159.06,Expenses
2012,Cultural Affairs,9781,Cultural Grants For Family And Youth,2047884.00,Special
2012,Cultural Affairs,9819,Sony Pictures Media Arts Progr,,Special
2012,Cultural Affairs,9840,Lacma/Watts Towers Conservatio,,Special
2012,Cultural Affairs,9836,Music La,21000.00,Special
2012,Cultural Affairs,9832,Matching Grant Program,154283.00,Special
2012,Cultural Affairs,1010,Salaries General,2932237.89,Salaries And Benefits
2012,Cultural Affairs,1070,Salaries As Needed,1290309.24,Salaries And Benefits
2012,Cultural Affairs,1090,Overtime General,9409.24,Salaries And Benefits
2012,Cultural Affairs,2120,Printing And Binding,79947.44,Expenses
2012,Cultural Affairs,3040,Contractual Services,128825.95,Expenses
2012,Cultural Affairs,3310,Transportation,7136.46,Expenses
2012,Cultural Affairs,4030,Art And Music Expense,71779.68,Expenses
2012,Cultural Affairs,6010,Office And Administrative,81832.85,Expenses
2012,Cultural Affairs,6020,Operating Supplies,51291.96,Expenses
2012,Cultural Affairs,8140,Early Retirement Incentive Program Payout,,Special
2012,Cultural Affairs,9494,La Cultural Tourism & Promotio,15253.65,Special
2012,Cultural Affairs,9623,Watts Towers Jazz & Drum Festi,63500.00,Special
2012,Cultural Affairs,9680,Central Avenue Jazz Festival,24000.00,Special
2012,Cultural Affairs,9698,Community Arts Partner Program,82533.18,Special
2012,Cultural Affairs,9699,Council Civic Fund,181557.99,Special
2012,Cultural Affairs,9700,Harbor Gateway Music Festival,,Special
2012,Cultural Affairs,9718,Latino Heritage Month Programs,12556.00,Special
2012,Cultural Affairs,9776,African American History Month,12556.00,Special
2012,Cultural Affairs,9777,Asian American History Month,12556.00,Special
2012,Disability,1090,Overtime General,265.36,Salaries And Benefits
2012,Disability,9800,Aids Prevention Program,54778.15,Special
2012,Disability,8140,Early Retirement Incentive Program Payout,,Special
2012,Disability,6010,Office And Administrative,50438.47,Expenses
2012,Disability,3310,Transportation,6250.00,Expenses
2012,Disability,3040,Contractual Services,217810.75,Expenses
2012,Disability,2120,Printing And Binding,,Expenses
2012,Disability,1010,Salaries General,1037319.64,Salaries And Benefits
2012,Economic And Workforce Development Department,2130,Travel,58814.62,Expenses
2012,Economic And Workforce Development Department,3040,Contractual Services,1176681.63,Expenses
2012,Economic And Workforce Development Department,3310,Transportation,29250.24,Expenses
2012,Economic And Workforce Development Department,9350,Communication Services,,Special
2012,Economic And Workforce Development Department,8140,Early Retirement Incentive Program Payout,,Special
2012,Economic And Workforce Development Department,7300,"Furniture, Office And Technical Equipment",,Equipment
2012,Economic And Workforce Development Department,6030,Leasing,1836692.34,Expenses
2012,Economic And Workforce Development Department,6020,Operating Supplies,384354.68,Expenses
2012,Economic And Workforce Development Department,6010,Office And Administrative,891690.36,Expenses
2012,Economic And Workforce Development Department,3340,Water And Electricity,90726.43,Expenses
2012,Economic And Workforce Development Department,1010,Salaries General,22784570.25,Salaries And Benefits
2012,Economic And Workforce Development Department,1070,Salaries As Needed,935155.04,Salaries And Benefits
2012,Economic And Workforce Development Department,1090,Overtime General,56075.11,Salaries And Benefits
2012,Economic And Workforce Development Department,2120,Printing And Binding,76551.14,Expenses
2012,El Pueblo De Los Angeles Historical Monument Authority,6020,Operating Supplies,,Expenses
2012,El Pueblo De Los Angeles Historical Monument Authority,6900,Special Events (El Pueblo),53848.21,Expenses
2012,El Pueblo De Los Angeles Historical Monument Authority,1010,Salaries General,915135.11,Salaries And Benefits
2012,El Pueblo De Los Angeles Historical Monument Authority,1070,Salaries As Needed,224637.83,Salaries And Benefits
2012,El Pueblo De Los Angeles Historical Monument Authority,1090,Overtime General,29425.33,Salaries And Benefits
2012,El Pueblo De Los Angeles Historical Monument Authority,2030,Communications,14707.79,Expenses
2012,El Pueblo De Los Angeles Historical Monument Authority,2120,Printing And Binding,2445.05,Expenses
2012,El Pueblo De Los Angeles Historical Monument Authority,3040,Contractual Services,16336.35,Expenses
2012,El Pueblo De Los Angeles Historical Monument Authority,3310,Transportation,,Expenses
2012,El Pueblo De Los Angeles Historical Monument Authority,3340,Water And Electricity,265727.01,Expenses
2012,El Pueblo De Los Angeles Historical Monument Authority,6010,Office And Administrative,4932.89,Expenses
2012,El Pueblo De Los Angeles Historical Monument Authority,6700,Merchandise For Resale (El Pueblo),4534.25,Expenses
2012,Emergency Management,6020,Operating Supplies,,Expenses
2012,Emergency Management,8140,Early Retirement Incentive Program Payout,,Special
2012,Emergency Management,1010,Salaries General,2384086.64,Salaries And Benefits
2012,Emergency Management,6010,Office And Administrative,50919.89,Expenses
2012,Emergency Management,3040,Contractual Services,9598.55,Expenses
2012,Emergency Management,2120,Printing And Binding,4950.00,Expenses
2012,Emergency Management,1090,Overtime General,19053.96,Salaries And Benefits
2012,Employee Relations Board,8140,Early Retirement Incentive Program Payout,,Special
2012,Employee Relations Board,6020,Operating Supplies,1855.47,Expenses
2012,Employee Relations Board,6010,Office And Administrative,3257.56,Expenses
2012,Employee Relations Board,3040,Contractual Services,2449.50,Expenses
2012,Employee Relations Board,2120,Printing And Binding,,Expenses
2012,Employee Relations Board,1070,Salaries As Needed,45750.00,Salaries And Benefits
2012,Employee Relations Board,1010,Salaries General,228455.69,Salaries And Benefits
2012,Fire,6010,Office And Administrative,1647808.53,Expenses
2012,Fire,1090,Overtime General,1147285.24,Salaries And Benefits
2012,Fire,1070,Salaries As Needed,7178.60,Salaries And Benefits
2012,Fire,1050,Unused Sick Time,3117579.56,Salaries And Benefits
2012,Fire,1030,Sworn Bonuses,3529784.17,Salaries And Benefits
2012,Fire,1012,Salaries Sworn,344393607.13,Salaries And Benefits
2012,Fire,8140,Early Retirement Incentive Program Payout,,Special
2012,Fire,7350,Other Operating Equipment,,Equipment
2012,Fire,1010,Salaries General,22143772.16,Salaries And Benefits
2012,Fire,7340,Transportation Equipment,,Equipment
2012,Fire,7300,"Furniture, Office And Technical Equipment",,Equipment
2012,Fire,6020,Operating Supplies,3868883.34,Expenses
2012,Fire,1092,Overtime Sworn,5304211.55,Salaries And Benefits
2012,Fire,4450,Water Control Devices,670034.68,Expenses
2012,Fire,4430,Uniforms,1268285.50,Expenses
2012,Fire,3310,Transportation,,Expenses
2012,Fire,3260,Rescue Supplies And Expense,2615169.86,Expenses
2012,Fire,3120,Investigations,,Expenses
2012,Fire,3090,Field Equipment Expense,4294292.78,Expenses
2012,Fire,3070,Contract Brush Clearance,2491825.80,Expenses
2012,Fire,3040,Contractual Services,4578343.67,Expenses
2012,Fire,3030,Construction Expense,120720.06,Expenses
2012,Fire,2130,Travel,18249.25,Expenses
2012,Fire,2120,Printing And Binding,256391.94,Expenses
2012,Fire,1098,Overtime Variable Staffing,8084985.23,Salaries And Benefits
2012,Fire,1093,Overtime Constant Staffing,92984231.53,Salaries And Benefits
2012,General Services,3160,"Maintenance Materials, Supplies & Services",5624831.16,Expenses
2012,General Services,3180,Construction Materials,11213528.35,Expenses
2012,General Services,3230,Petroleum Products,47096736.89,Expenses
2012,General Services,3310,Transportation,26947.45,Expenses
2012,General Services,3330,Utilities Expense Private Company,2690576.19,Expenses
2012,General Services,4050,Marketing,,Expenses
2012,General Services,4430,Uniforms,140880.76,Expenses
2012,General Services,4500,Laboratory Testing Expense,495825.26,Expenses
2012,General Services,6010,Office And Administrative,791110.18,Expenses
2012,General Services,6020,Operating Supplies,855826.11,Expenses
2012,General Services,6030,Leasing,15233192.53,Expenses
2012,General Services,7300,"Furniture, Office And Technical Equipment",60807.07,Equipment
2012,General Services,7340,Transportation Equipment,88485.06,Equipment
2012,General Services,7350,Other Operating Equipment,181297.12,Equipment
2012,General Services,9130,Mail Services,3862106.79,Special
2012,General Services,8140,Early Retirement Incentive Program Payout,,Special
2012,General Services,1010,Salaries General,102776257.45,Salaries And Benefits
2012,General Services,1014,"Salaries, Construction Projects",5449849.16,Salaries And Benefits
2012,General Services,1070,Salaries As Needed,6060684.69,Salaries And Benefits
2012,General Services,1090,Overtime General,5710542.96,Salaries And Benefits
2012,General Services,1097,Overtime Construction,16441.74,Salaries And Benefits
2012,General Services,1100,Hiring Hall Salaries,5559253.43,Salaries And Benefits
2012,General Services,1101,Hiring Hall Construction,4461378.32,Salaries And Benefits
2012,General Services,1110,Hiring Hall Overtime,,Salaries And Benefits
2012,General Services,1120,Benefits Hiring Hall,2944265.20,Salaries And Benefits
2012,General Services,1121,Benefits Hiring Hall Construction,1750000.00,Salaries And Benefits
2012,General Services,1190,Hiring Hall Overtime,74339.60,Salaries And Benefits
2012,General Services,1191,Overtime Hiring Hall Construction,18590.68,Salaries And Benefits
2012,General Services,2120,Printing And Binding,114948.00,Expenses
2012,General Services,2130,Travel,205827.08,Expenses
2012,General Services,3040,Contractual Services,26163046.42,Expenses
2012,General Services,3090,Field Equipment Expense,25762119.41,Expenses
2012,General Services,3170,Custodial Supplies,1151442.95,Expenses
2012,Housing And Community Investment Department,2130,Travel,21889.63,Expenses
2012,Housing And Community Investment Department,3040,Contractual Services,623633.32,Expenses
2012,Housing And Community Investment Department,3310,Transportation,354597.76,Expenses
2012,Housing And Community Investment Department,6010,Office And Administrative,693476.17,Expenses
2012,Housing And Community Investment Department,6030,Leasing,3627339.56,Expenses
2012,Housing And Community Investment Department,7300,"Furniture, Office And Technical Equipment",,Equipment
2012,Housing And Community Investment Department,8040,Displaced Tenant Relocation,567000.00,Special
2012,Housing And Community Investment Department,8140,Early Retirement Incentive Program Payout,,Special
2012,Housing And Community Investment Department,1010,Salaries General,43770338.92,Salaries And Benefits
2012,Housing And Community Investment Department,1070,Salaries As Needed,388134.29,Salaries And Benefits
2012,Housing And Community Investment Department,1090,Overtime General,52014.40,Salaries And Benefits
2012,Housing And Community Investment Department,2120,Printing And Binding,89952.18,Expenses
2012,Information Technology Agency,2120,Printing And Binding,9750.88,Expenses
2012,Information Technology Agency,1100,Hiring Hall Salaries,647397.46,Salaries And Benefits
2012,Information Technology Agency,1190,Hiring Hall Overtime,786.72,Salaries And Benefits
2012,Information Technology Agency,1090,Overtime General,611453.38,Salaries And Benefits
2012,Information Technology Agency,1070,Salaries As Needed,307833.63,Salaries And Benefits
2012,Information Technology Agency,1010,Salaries General,48126831.05,Salaries And Benefits
2012,Information Technology Agency,7300,"Furniture, Office And Technical Equipment",249846.30,Equipment
2012,Information Technology Agency,6020,Operating Supplies,1964438.34,Expenses
2012,Information Technology Agency,6010,Office And Administrative,823066.07,Expenses
2012,Information Technology Agency,3310,Transportation,6000.00,Expenses
2012,Information Technology Agency,3040,Contractual Services,19892197.10,Expenses
2012,Information Technology Agency,9350,Communication Services,16133525.79,Special
2012,Information Technology Agency,8140,Early Retirement Incentive Program Payout,,Special
2012,Information Technology Agency,2130,Travel,4011.09,Expenses
2012,Los Angeles Convention Center,7300,"Furniture, Office And Technical Equipment",165129.90,Equipment
2012,Los Angeles Convention Center,3040,Contractual Services,2521661.25,Expenses
2012,Los Angeles Convention Center,2120,Printing And Binding,24276.46,Expenses
2012,Los Angeles Convention Center,1120,Benefits Hiring Hall,,Salaries And Benefits
2012,Los Angeles Convention Center,1100,Hiring Hall Salaries,,Salaries And Benefits
2012,Los Angeles Convention Center,1090,Overtime General,893761.66,Salaries And Benefits
2012,Los Angeles Convention Center,1070,Salaries As Needed,5308590.39,Salaries And Benefits
2012,Los Angeles Convention Center,1010,Salaries General,8721270.58,Salaries And Benefits
2012,Los Angeles Convention Center,8140,Early Retirement Incentive Program Payout,,Special
2012,Los Angeles Convention Center,9150,Modifications Repairs Addition,458297.53,Special
2012,Los Angeles Convention Center,9190,"Advertising, Travel & Other Promotion",145829.28,Special
2012,Los Angeles Convention Center,9350,Communication Services,2998.28,Special
2012,Los Angeles Convention Center,9480,Building Operating Equipment,120218.01,Special
2012,Los Angeles Convention Center,9650,Earthquake Reserve Fund,40000.00,Special
2012,Los Angeles Convention Center,6020,Operating Supplies,54432.38,Expenses
2012,Los Angeles Convention Center,6010,Office And Administrative,126418.70,Expenses
2012,Los Angeles Convention Center,4430,Uniforms,19385.23,Expenses
2012,Los Angeles Convention Center,3380,Electrical Service,130634.82,Expenses
2012,Los Angeles Convention Center,3340,Water And Electricity,4435000.00,Expenses
2012,Los Angeles Convention Center,3330,Utilities Expense Private Company,173084.30,Expenses
2012,Los Angeles Convention Center,3310,Transportation,6000.00,Expenses
2012,Los Angeles Convention Center,3160,"Maintenance Materials, Supplies & Services",256020.89,Expenses
2012,Los Angeles Convention Center,3090,Field Equipment Expense,21040.43,Expenses
2012,Mayor,4620,Contingent Expense,,Expenses
2012,Mayor,6010,Office And Administrative,295006.66,Expenses
2012,Mayor,7300,"Furniture, Office And Technical Equipment",,Equipment
2012,Mayor,8140,Early Retirement Incentive Program Payout,,Special
2012,Mayor,46H112,City Atty Salaries,,
2012,Mayor,1010,Salaries General,4264167.09,Salaries And Benefits
2012,Mayor,1020,Grant Reimbursed,2175866.76,Salaries And Benefits
2012,Mayor,1070,Salaries As Needed,7377854.76,Salaries And Benefits
2012,Mayor,2120,Printing And Binding,25511.53,Expenses
2012,Mayor,2130,Travel,37313.67,Expenses
2012,Mayor,3040,Contractual Services,18501030.85,Expenses
2012,Mayor,3310,Transportation,4462.99,Expenses
2012,Mayor,4140,"Legislative, Economic Or Govt. Purposes",,Expenses
2012,Neighborhood Empowerment,3040,Contractual Services,140778.53,Expenses
2012,Neighborhood Empowerment,6010,Office And Administrative,48501.14,Expenses
2012,Neighborhood Empowerment,6020,Operating Supplies,1056.46,Expenses
2012,Neighborhood Empowerment,8140,Early Retirement Incentive Program Payout,,Special
2012,Neighborhood Empowerment,9350,Communication Services,,Special
2012,Neighborhood Empowerment,1010,Salaries General,1484062.63,Salaries And Benefits
2012,Neighborhood Empowerment,1090,Overtime General,1086.71,Salaries And Benefits
2012,Neighborhood Empowerment,2120,Printing And Binding,556.63,Expenses
2012,Neighborhood Empowerment,3310,Transportation,6237.59,Expenses
2012,Non-Departmental - Capital Finance Administration,314,North Valley Station Program A,1909130.65,Special
2012,Non-Departmental - Capital Finance Administration,313,Convention Center Debt Service,47948944.38,Special
2012,Non-Departmental - Capital Finance Administration,312,Micla Au,634397.61,Special
2012,Non-Departmental - Capital Finance Administration,309,Micla Ar (Real Property 2002),5572792.92,Special
2012,Non-Departmental - Capital Finance Administration,306,Official Visits Of Dignitaries,3394206.34,Special
2012,Non-Departmental - Capital Finance Administration,292,Central Library Ref 2 Proj R,4838827.35,Special
2012,Non-Departmental - Capital Finance Administration,280,Central Library Refunding 2002,1772405.00,Special
2012,Non-Departmental - Capital Finance Administration,270,Pershing Square Refunding 2002,574706.25,Special
2012,Non-Departmental - Capital Finance Administration,322,Micla 2007-A,17832050.00,Special
2012,Non-Departmental - Capital Finance Administration,321,Micla Refunding Of Commercial Paper,,Special
2012,Non-Departmental - Capital Finance Administration,320,Micla 2006-A Public Works Bldg/Police Hq,28636637.50,Special
2012,Non-Departmental - Capital Finance Administration,319,Refunding 2005 (Micla Ay),,Special
2012,Non-Departmental - Capital Finance Administration,318,Equipment Acquisition Program Ax,4993312.50,Special
2012,Non-Departmental - Capital Finance Administration,317,Debt Serve For Cdd Project,543616.64,Special
2012,Non-Departmental - Capital Finance Administration,316,Commercial Paper,7454592.37,Special
2012,Non-Departmental - Capital Finance Administration,315,Marvin Braude Program Aw,2227450.00,Special
2012,Non-Departmental - Capital Finance Administration,295,Piper Tech Center Refundng Pro,2897106.29,Special
2012,Non-Departmental - Capital Finance Administration,,,,
2012,Non-Departmental - Capital Finance Administration,339,Proposed Event Center Project,473265.71,Special
2012,Non-Departmental - Capital Finance Administration,338,Micla 2010-D Refunding Of Micla,6166790.48,Special
2012,Non-Departmental - Capital Finance Administration,336,Micla 2010-C Cp Real Prop Refund Rzedb,1540233.50,Special
2012,Non-Departmental - Capital Finance Administration,335,Micla 2010-B Cp Equip Refund Rzedb,6316813.15,Special
2012,Non-Departmental - Capital Finance Administration,334,Micla 2010-A Cp Equip Refund,3747160.36,Special
2012,Non-Departmental - Capital Finance Administration,333,Micla 2009-E,3823829.34,Special
2012,Non-Departmental - Capital Finance Administration,332,Micla 2009-D,1920534.70,Special
2012,Non-Departmental - Capital Finance Administration,331,Micla 2009-C,4760841.35,Special
2012,Non-Departmental - Capital Finance Administration,330,Motorola Lease Radios(Police),5746632.78,Special
2012,Non-Departmental - Capital Finance Administration,329,In-Car Video (Police),,Special
2012,Non-Departmental - Capital Finance Administration,328,Ibm Mainframe (Ita),104344.44,Special
2012,Non-Departmental - Capital Finance Administration,327,Micla 2009-B Real Property,3400153.87,Special
2012,Non-Departmental - Capital Finance Administration,326,Micla 2009-A (Capital Equipment),7177780.82,Special
2012,Non-Departmental - Capital Finance Administration,325,Micla 2008-B,2653084.59,Special
2012,Non-Departmental - Capital Finance Administration,324,Micla 2008-A,8308463.29,Special
2012,Non-Departmental - Capital Finance Administration,323,Micla 2007-B,14110056.50,Special
2012,Non-Departmental - Capital Finance Administration,170,General Administration,92046.57,Special
2012,Non-Departmental - Capital Finance Administration,300,Library Fund,,Special
2012,Non-Departmental - Capital Finance Administration,305,Trustees Fees,33326.88,Special
2012,Non-Departmental - Capital Finance Administration,303,Staples Arena Debt Service,3853500.01,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H864,Benny Potter Park,,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H335,Pacoima Ne Valley/Frank Del Olmo Cd7,,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H318,Contaminated Soil Removal,390820.47,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H276,One Percent For The Arts,50000.00,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H247,Vine St Parking Garage,,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H201,Saticoy Yard Sinkhole Repair,220932.90,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H200,Fire Life Safety,522838.04,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H098,Citywide Roofing Repair Prog,800000.00,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H087,Citywide Elevator Repair,849870.95,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H077,Citywide Infrastructure Improv,1641519.55,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H053,Recreational Facilities,,Special
2012,Non-Departmental - Capital Improvement Expense Program,00H019,Building Hazard Mitigation,329122.78,Special
2012,Non-Departmental - General,682,Engineering Special Services Fund,900000.00,Special
2012,Non-Departmental - General,,,,
2012,Non-Departmental - General,000P15,Tax Rev Anticipate Note,798081314.65,Special
2012,Non-Departmental - General,000B00,Judgement Oblig Bonds Debt Svc,9031373.43,Special
2012,Non-Departmental - General,901,Excess Benefit Plan,40000.00,Special
2012,Non-Departmental - General,842,Animal Sterilization Trust Fund,1110000.00,Special
2012,Non-Departmental - General,840,Holly Trolley Marketing Svcs,9532.00,Special
2012,Non-Departmental - General,760,Sewer Operations & Maintenance,88000.00,Special
2012,Non-Departmental - General,737,El Pueblo Fund,75750.00,Special
2012,Non-Departmental - General,659,Business Improv Dist Trust,828204.00,Special
2012,Non-Departmental - General,551,Gen Fund-Various Programs,1600000.00,Special
2012,Non-Departmental - General,543,Animal Spay And Neuter,,Special
2012,Non-Departmental - General,534,City Ethics Commission Fund,1866479.00,Special
2012,Non-Departmental - General,00049F,Council Dist8 Public Benefit Trust Fund,35000.00,Special
2012,Non-Departmental - General,480,Arts & Cultural Fac & Svcs,10477000.00,Special
2012,Non-Departmental - General,00047C,Police Teams Ii Special Fund,1225000.00,Special
2012,Non-Departmental - General,00046T,Attorney Conflicts Panel,1567000.00,Special
2012,Non-Departmental - General,00046S,Insurance & Bonds Premiums Fd,4286000.00,Special
2012,Non-Departmental - General,00044G,Affordable Housing Trust,9625500.00,Special
2012,Non-Departmental - General,00044B,Neighborhood Empowerment,4540079.00,Special
2012,Non-Departmental - General,438,Construction Services Trust Fd,30000.00,Special
2012,Non-Departmental - General,00042J,Senior Human Services Prog.,476246.00,Special
2012,Non-Departmental - General,00040E,Los Angeles Zoo Enterprise Fd,4831129.00,Special
2012,Non-Departmental - General,395,Older American Act,1904845.00,Special
2012,Non-Departmental - General,392,Emergency Operations Fund,704000.00,Special
2012,Non-Departmental - General,385,Proposition A Local Transit,11285.50,Special
2012,Non-Departmental - General,302,Rec & Park Fund,148615795.00,Special
2012,Non-Departmental - General,300,Library Fund,89247557.00,Special
2012,Non-Departmental - General City Purposes,609,Youth Employment Program,,Special
2012,Non-Departmental - General City Purposes,121,Lahsa Downtown Drop-In Center,,Special
2012,Non-Departmental - General City Purposes,201,League Of California Cities,100476.00,Special
2012,Non-Departmental - General City Purposes,202,National League Of Cities,74420.00,Special
2012,Non-Departmental - General City Purposes,203,United States Conference Of Mayors,69798.00,Special
2012,Non-Departmental - General City Purposes,204,Sister Cities International,1965.00,Special
2012,Non-Departmental - General City Purposes,207,Independent Cities Association,5250.00,Special
2012,Non-Departmental - General City Purposes,208,Southern California Association Of Goverments,325438.00,Special
2012,Non-Departmental - General City Purposes,212,League Of California Cities--County Division,1440.00,Special
